x,y,u
-0.96,-0.535,-0.3434693085149695
-0.96,-0.515,-0.2360774206610773
-0.96,-0.495,-0.12636230412307892
-0.96,-0.475,-0.015611064288089227
-0.96,-0.455,0.0946917618029467
-0.96,-0.434,0.20830172356879306
-0.96,-0.414,0.3127783244350458
-0.96,-0.394,0.4121806690237487
-0.96,-0.374,0.5053280718520737
-0.96,-0.354,0.5913485845759068
-0.96,-0.333,0.6734386348269963
-0.96,-0.313,0.74363175370672
-0.96,-0.293,0.806239195475982
-0.96,-0.273,0.861762456055081
-0.96,-0.253,0.9109211335161974
-0.96,-0.232,0.956628697218518
-0.96,-0.212,0.9954808673325976
-0.96,-0.192,1.0306717774674248
-0.96,-0.172,1.06299963436981
-0.96,-0.152,1.0931427427139322
-0.96,-0.131,1.1230228429977112
-0.96,-0.111,1.150207672573067
-0.96,-0.091,1.1764294626831973
-0.96,-0.071,1.2018730406987672
-0.96,-0.051,1.2266605093236602
-0.96,-0.03,1.2520677324384533
-0.96,-0.01,1.275716437876141
-0.96,0.01,1.2988167575248446
-0.96,0.03,1.3212714068626232
-0.96,0.051,1.343902564330319
-0.96,0.071,1.3641190548793167
-0.96,0.091,1.3823599143210845
-0.96,0.111,1.3976848215622628
-0.96,0.131,1.4088611104097073
-0.96,0.152,1.4144833241803851
-0.96,0.172,1.4122143693332525
-0.96,0.192,1.400633541426671
-0.96,0.212,1.3779031066621485
-0.96,0.232,1.3423570370579325
-0.96,0.253,1.2897759305100858
-0.96,0.273,1.2242883118981909
-0.96,0.293,1.143537042240737
-0.96,0.313,1.0480073454106613
-0.96,0.333,0.9389103070722213
-0.96,0.354,0.8118533276195752
-0.96,0.374,0.6815610371505096
-0.96,0.394,0.545222461167058
-0.96,0.414,0.4060426585143483
-0.96,0.434,0.2672375366817794
-0.96,0.455,0.12517253594237074
-0.96,0.475,-0.003954116944951264
-0.96,0.495,-0.12507423662212785
-0.96,0.515,-0.2369594993596248
-0.96,0.535,-0.3391450121866775
-0.96,0.556,-0.4363068466541872
-0.96,0.576,-0.5201701470946622
-0.96,0.596,-0.5970452119142975
-0.96,0.616,-0.6687082940132812
-0.96,0.636,-0.737059055598883
-0.96,0.657,-0.8072619193156633
-0.96,0.677,-0.8742794145514194
-0.96,0.697,-0.9426701821861914
-0.96,0.717,-1.013168539979339
-0.96,0.737,-1.0860155768550843
-0.96,0.758,-1.1647728165742084
-0.96,0.778,-1.2412610400917548
-0.96,0.798,-1.3182066918308146
-0.96,0.818,-1.394433355472353
-0.96,0.838,-1.4686700508961674
-0.96,0.859,-1.543103053551864
-0.96,0.879,-1.6094297386668566
-0.96,0.899,-1.6702804414291248
-0.96,0.919,-1.7248218631954115
-0.96,0.939,-1.7724023889731013
-0.96,0.96,-1.8143373184924407
-0.96,0.98,-1.8462654079821041
-0.96,1.0,-1.8701314906489983
-0.939,-1.0,-1.8698223916625873
-0.939,-0.98,-1.8472793888398817
-0.939,-0.96,-1.817799325251491
-0.939,-0.939,-1.7796671945018891
-0.939,-0.919,-1.7368972766925137
-0.939,-0.899,-1.6883210959521548
-0.939,-0.879,-1.634530529460225
-0.939,-0.859,-1.5762099253115223
-0.939,-0.838,-1.510901491936743
-0.939,-0.818,-1.4455892837271627
-0.939,-0.798,-1.3779171765535787
-0.939,-0.778,-1.3084274372537399
-0.939,-0.758,-1.2374830596411068
-0.939,-0.737,-1.1615844868914778
-0.939,-0.717,-1.087876636561867
-0.939,-0.697,-1.0124765152471311
-0.939,-0.677,-0.934915319554083
-0.939,-0.657,-0.854621585264294
-0.939,-0.636,-0.7667287149896527
-0.939,-0.616,-0.6790741012174112
-0.939,-0.596,-0.5872202461434117
-0.939,-0.576,-0.49107398080655784
-0.939,-0.556,-0.390845654702193
-0.939,-0.535,-0.28180764459235236
-0.939,-0.515,-0.17525088241850306
-0.939,-0.495,-0.06722422147929913
-0.939,-0.475,0.04090339246827493
-0.939,-0.455,0.1476433666124148
-0.939,-0.434,0.25658525221871575
-0.939,-0.414,0.3558894016344464
-0.939,-0.394,0.4496217481120117
-0.939,-0.374,0.5368478357210904
-0.939,-0.354,0.6169557587338943
-0.939,-0.333,0.6931196171298288
-0.939,-0.313,0.7581638573320495
-0.939,-0.293,0.8162762107514181
-0.939,-0.273,0.8680645091157093
-0.939,-0.253,0.9142923221917831
-0.939,-0.232,0.9577686396778007
-0.939,-0.212,0.9952286846310527
-0.939,-0.192,1.0296311461961023
-0.939,-0.172,1.061643738003405
-0.939,-0.152,1.091805222720726
-0.939,-0.131,1.1219219724265188
-0.939,-0.111,1.1494225824436362
-0.939,-0.091,1.1759606950939578
-0.939,-0.071,1.2016652781061363
-0.939,-0.051,1.2266275195366851
-0.939,-0.03,1.2521159222833267
-0.939,-0.01,1.2757508513367666
-0.939,0.01,1.2987648732300272
-0.939,0.03,1.3210778259045632
-0.939,0.051,1.34351623083546
-0.939,0.071,1.3635214834740912
-0.939,0.091,1.3815371005582235
-0.939,0.111,1.396639610686781
-0.939,0.131,1.407620703152653
-0.939,0.152,1.4131126749394713
-0.939,0.172,1.4108533847913487
-0.939,0.192,1.399492201799776
-0.939,0.212,1.3772900334523515
-0.939,0.232,1.3426870490590854
-0.939,0.253,1.2916623649173609
-0.939,0.273,1.22829666338673
-0.939,0.293,1.150363280433047
-0.939,0.313,1.0583795934083142
-0.939,0.333,0.953543394163706
-0.939,0.354,0.8316556226182902
-0.939,0.374,0.7068238593498067
-0.939,0.394,0.5763029163715678
-0.939,0.414,0.4430995090597155
-0.939,0.434,0.31021490525142115
-0.939,0.455,0.17407488277203337
-0.939,0.475,0.050115158830866424
-0.939,0.495,-0.06645605979248745
-0.939,0.515,-0.17450975166205812
-0.939,0.535,-0.27362237616291585
-0.939,0.556,-0.3683572995942456
-0.939,0.576,-0.4505988561834785
-0.939,0.596,-0.5264162918742495
-0.939,0.616,-0.5974549833967342
-0.939,0.636,-0.665480330691377
-0.939,0.657,-0.7355317964429198
-0.939,0.677,-0.802489712781279
-0.939,0.697,-0.8708508681535057
-0.939,0.717,-0.9413428507107264
-0.939,0.737,-1.014245770397886
-0.939,0.758,-1.0932163047306216
-0.939,0.778,-1.1701640426551667
-0.939,0.798,-1.2479474093511047
-0.939,0.818,-1.3255147687187414
-0.939,0.838,-1.4017112196624804
-0.939,0.859,-1.4789687860269436
-0.939,0.879,-1.5487817557181398
-0.939,0.899,-1.6139206213256958
-0.939,0.919,-1.6735439667581078
-0.939,0.939,-1.7269600256095625
-0.939,0.96,-1.7757565853837414
-0.939,0.98,-1.8148245304484232
-0.939,1.0,-1.8463103685355367
-0.919,-1.0,-1.8458054795677605
-0.919,-0.98,-1.8165635889516107
-0.919,-0.96,-1.780893830450896
-0.919,-0.939,-1.7368972766925133
-0.919,-0.919,-1.6892419055582995
-0.919,-0.899,-1.6365496293122042
-0.919,-0.879,-1.5794781868169736
-0.919,-0.859,-1.5187400852049793
-0.919,-0.838,-1.4517997603948813
-0.919,-0.818,-1.3857210994274964
-0.919,-0.798,-1.3179237600151044
-0.919,-0.778,-1.2487832316852734
-0.919,-0.758,-1.1784679099746245
-0.919,-0.737,-1.1033165107886898
-0.919,-0.717,-1.0302123985358875
-0.919,-0.697,-0.9551678367344669
-0.919,-0.677,-0.8776297911609199
-0.919,-0.657,-0.7970094596307703
-0.919,-0.636,-0.7084563327705544
-0.919,-0.616,-0.6199953799287385
-0.919,-0.596,-0.5273380944710717
-0.919,-0.576,-0.4305963445299581
-0.919,-0.556,-0.3301941085568575
-0.919,-0.535,-0.2216429140742024
-0.919,-0.515,-0.11635029439859222
-0.919,-0.495,-0.010469527394361022
-0.919,-0.475,0.09460330605008768
-0.919,-0.455,0.19742672173373843
-0.919,-0.434,0.3014575836046733
-0.919,-0.414,0.3955091113787317
-0.919,-0.394,0.4836510380773667
-0.919,-0.374,0.565190562508762
-0.919,-0.354,0.6397551575172297
-0.919,-0.333,0.7104912875473935
-0.919,-0.313,0.7709248448473119
-0.919,-0.293,0.825099252873675
-0.919,-0.273,0.8736880531762382
-0.919,-0.253,0.9174644314340741
-0.919,-0.232,0.9591243017057101
-0.919,-0.212,0.9954873287442234
-0.919,-0.192,1.029294813375892
-0.919,-0.172,1.0610893574238816
-0.919,-0.152,1.0912844975254723
-0.919,-0.131,1.1215841563624158
-0.919,-0.111,1.1493041298549227
-0.919,-0.091,1.176038583876938
-0.919,-0.071,1.201873924355988
-0.919,-0.051,1.2268834925854288
-0.919,-0.03,1.2523273910338144
-0.919,-0.01,1.275838859663257
-0.919,0.01,1.2986620020070565
-0.919,0.03,1.320728192445695
-0.919,0.051,1.3428577395327528
-0.919,0.071,1.3625285790848407
-0.919,0.091,1.3801813174161603
-0.919,0.111,1.3949065637322045
-0.919,0.131,1.4055255642613569
-0.919,0.152,1.4107026493041237
-0.919,0.172,1.4082744859248755
-0.919,0.192,1.3969605540240988
-0.919,0.212,1.3751253850027934
-0.919,0.232,1.3413205139274211
-0.919,0.253,1.2917206868835056
-0.919,0.273,1.2303720948290306
-0.919,0.293,1.1551706924324177
-0.919,0.313,1.0666631749002815
-0.919,0.333,0.966031046569794
-0.919,0.354,0.8492636442587632
-0.919,0.374,0.7298551589354504
-0.919,0.394,0.6051218111910138
-0.919,0.414,0.4778732066456698
-0.919,0.434,0.35089655768032363
-0.919,0.455,0.2206787412014137
-0.919,0.475,0.10189352714392425
-0.919,0.495,-0.010112344295551412
-0.919,0.515,-0.11431299064336845
-0.919,0.535,-0.21033206119019487
-0.919,0.556,-0.30262414240851165
-0.919,0.576,-0.38324249879834893
-0.919,0.596,-0.45801873526962206
-0.919,0.616,-0.5284702755943461
-0.919,0.636,-0.5962261926895194
-0.919,0.657,-0.6661960624719395
-0.919,0.677,-0.7331595376279098
-0.919,0.697,-0.8015368517295335
-0.919,0.717,-0.8720278561310751
-0.919,0.737,-0.9449269373146438
-0.919,0.758,-1.0239492259228864
-0.919,0.778,-1.1010918189878462
-0.919,0.798,-1.1793201662210855
-0.919,0.818,-1.2577025156248012
-0.919,0.838,-1.3351995012405766
-0.919,0.859,-1.4144583719147539
-0.919,0.879,-1.4868678404791509
-0.919,0.899,-1.555334308013546
-0.919,0.919,-1.6190435198374915
-0.919,0.939,-1.6773005019167102
-0.919,0.96,-1.7319620311025727
-0.919,0.98,-1.7773051935094735
-0.919,1.0,-1.8156672244754757
-0.899,-1.0,-1.8140998251892073
-0.899,-0.98,-1.77870147138311
-0.899,-0.96,-1.7374534828329504
-0.899,-0.939,-1.688321095952154
-0.899,-0.919,-1.6365496293122042
-0.899,-0.899,-1.5805656694463748
-0.899,-0.879,-1.5210550056896888
-0.899,-0.859,-1.4587159996971302
-0.899,-0.838,-1.3909193759270781
-0.899,-0.818,-1.3246851453126132
-0.899,-0.798,-1.2572113590155074
-0.899,-0.778,-1.188683527266921
-0.899,-0.758,-1.1190737280446708
-0.899,-0.737,-1.044562300768731
-0.899,-0.717,-0.9718190903707863
-0.899,-0.697,-0.8967986224665153
-0.899,-0.677,-0.818919867115376
-0.899,-0.657,-0.7376364046326096
-0.899,-0.636,-0.6481575155880045
-0.899,-0.616,-0.5587663903790082
-0.899,-0.596,-0.4653335210175665
-0.899,-0.576,-0.3681839475394879
-0.899,-0.556,-0.2679449667854984
-0.899,-0.535,-0.16036479382124857
-0.899,-0.515,-0.0568803624792516
-0.899,-0.495,0.046280095067346316
-0.899,-0.475,0.14774346251046025
-0.899,-0.455,0.24616190876380617
-0.899,-0.434,0.34488209387659097
-0.899,-0.414,0.43343568242300673
-0.899,-0.394,0.5158861257537842
-0.899,-0.374,0.5917780852136539
-0.899,-0.354,0.6609641575487676
-0.899,-0.333,0.7265521113502436
-0.899,-0.313,0.7827088971410995
-0.899,-0.293,0.8333084763487982
-0.899,-0.273,0.8790587184902374
-0.899,-0.253,0.9207116724841871
-0.899,-0.232,0.9608399406939985
-0.899,-0.212,0.9963069114445838
-0.899,-0.192,1.0296472397192524
-0.899,-0.172,1.0612807827175088
-0.899,-0.152,1.091505770843806
-0.899,-0.131,1.1219322584292868
-0.899,-0.111,1.1497846935516038
-0.899,-0.091,1.1766087671426235
-0.899,-0.071,1.2024628638297608
-0.899,-0.051,1.2274065736659319
-0.899,-0.03,1.2526926687416926
-0.899,-0.01,1.2759774372347563
-0.899,0.01,1.2985083731910787
-0.899,0.03,1.3202238811417368
-0.899,0.051,1.341927255341621
-0.899,0.071,1.3611410850855403
-0.899,0.091,1.3782936016516765
-0.899,0.111,1.3924952666057127
-0.899,0.131,1.4025975272237998
-0.899,0.152,1.4072976182526278
-0.899,0.172,1.404553953854612
-0.899,0.192,1.393158534529346
-0.899,0.212,1.3715871664461134
-0.899,0.232,1.3385108032872017
-0.899,0.253,1.2903036042042457
-0.899,0.273,1.2309819025448088
-0.899,0.293,1.1585612959593297
-0.899,0.313,1.0736168854626609
-0.899,0.333,0.977305744972018
-0.899,0.354,0.8658085886721889
-0.899,0.374,0.7519847169373263
-0.899,0.394,0.6332122689361721
-0.899,0.414,0.5120957188136208
-0.899,0.434,0.3912041211366032
-0.899,0.455,0.2670879052711855
-0.899,0.475,0.15363602473796678
-0.899,0.495,0.04633760021879227
-0.899,0.515,-0.053889018987685666
-0.899,0.535,-0.14671870907266021
-0.899,0.556,-0.23649969702104828
-0.899,0.576,-0.31546198529892927
-0.899,0.596,-0.3891963002322355
-0.899,0.616,-0.4590893005258152
-0.899,0.636,-0.5266276716252359
-0.899,0.657,-0.5965859230752577
-0.899,0.677,-0.6636212918998359
-0.899,0.697,-0.7320641334441901
-0.899,0.717,-0.8025663777155184
-0.899,0.737,-0.8754179429176275
-0.899,0.758,-0.9543653336185411
-0.899,0.778,-1.0314858221607988
-0.899,0.798,-1.1098393294885331
-0.899,0.818,-1.1886058691330772
-0.899,0.838,-1.2668638023776095
-0.899,0.859,-1.3474494325970698
-0.899,0.879,-1.4217281106860844
-0.899,0.899,-1.492737082196717
-0.899,0.919,-1.5597151865207033
-0.899,0.939,-1.6220001324311546
-0.899,0.96,-1.6817125811066673
-0.899,0.98,-1.732631563141215
-0.899,1.0,-1.7772758860919975
-0.879,-1.0,-1.775035833727027
-0.879,-0.98,-1.73410492804451
-0.879,-0.96,-1.6879810009178788
-0.879,-0.939,-1.6345305294602261
-0.879,-0.919,-1.5794781868169734
-0.879,-0.899,-1.5210550056896892
-0.879,-0.879,-1.4599340176756317
-0.879,-0.859,-1.3967459123189856
-0.879,-0.838,-1.3287515781961239
-0.879,-0.818,-1.2628239857285468
-0.879,-0.798,-1.1959505869920695
-0.879,-0.778,-1.1281225945927797
-0.879,-0.758,-1.0591289493644003
-0.879,-0.737,-0.985009849257051
-0.879,-0.717,-0.9122948802913026
-0.879,-0.697,-0.8369273691398654
-0.879,-0.677,-0.7583592057946604
-0.879,-0.657,-0.6761400217779405
-0.879,-0.636,-0.5855803419382923
-0.879,-0.616,-0.4952670935900193
-0.879,-0.596,-0.401230565419591
-0.879,-0.576,-0.3040021771676035
-0.879,-0.556,-0.20438682257922597
-0.879,-0.535,-0.09836140545756825
-0.879,-0.515,0.002713827608697872
-0.879,-0.495,0.10256020065175236
-0.879,-0.475,0.1998763495706299
-0.879,-0.455,0.2934497713290216
-0.879,-0.434,0.3865366005113672
-0.879,-0.414,0.46943342244990044
-0.879,-0.394,0.5461811491888107
-0.879,-0.374,0.6165507752209555
-0.879,-0.354,0.6805973296352097
-0.879,-0.333,0.7413758940091073
-0.879,-0.313,0.7936271306436575
-0.879,-0.293,0.8410349347798594
-0.879,-0.273,0.8843077711010938
-0.879,-0.253,0.9241524197262325
-0.879,-0.232,0.9630116977742806
-0.879,-0.212,0.9977564750301793
-0.879,-0.192,1.0307309798123554
-0.879,-0.172,1.0622369542438876
-0.879,-0.152,1.0924679993167836
-0.879,-0.131,1.122952994463695
-0.879,-0.111,1.1508438852485783
-0.879,-0.091,1.1776511212343703
-0.879,-0.071,1.2034120009752103
-0.879,-0.051,1.2281817791254381
-0.879,-0.03,1.2532030772850602
-0.879,-0.01,1.2761639503077045
-0.879,0.01,1.2983064577785455
-0.879,0.03,1.319571791210412
-0.879,0.051,1.3407370810178278
-0.879,0.071,1.359378318932673
-0.879,0.091,1.3759065435855333
-0.879,0.111,1.3894507599143802
-0.879,0.131,1.398901140321754
-0.879,0.152,1.4029848051080265
-0.879,0.172,1.3998065829609925
-0.879,0.192,1.3882283678929048
-0.879,0.212,1.366844021502668
-0.879,0.232,1.3344507487943646
-0.879,0.253,1.287620709487388
-0.879,0.273,1.2303438288953035
-0.879,0.293,1.160749976096779
-0.879,0.313,1.0794359774011355
-0.879,0.333,0.9875312780891256
-0.879,0.354,0.8814066697929497
-0.879,0.374,0.7732690992909392
-0.879,0.394,0.6605594758382327
-0.879,0.414,0.5456732301613088
-0.879,0.434,0.4309579627354846
-0.879,0.455,0.3130288150709106
-0.879,0.475,0.20498187191885903
-0.879,0.495,0.10245030212024125
-0.879,0.515,0.006243103008376327
-0.879,0.535,-0.08336781726506926
-0.879,0.556,-0.17062573052991475
-0.879,0.576,-0.24794122303841448
-0.879,0.596,-0.3206628719024649
-0.879,0.616,-0.39004638256739654
-0.879,0.636,-0.4574317589194551
-0.879,0.657,-0.5274548308174012
-0.879,0.677,-0.5946322751128081
-0.879,0.697,-0.6631939562098372
-0.879,0.717,-0.7337290290510241
-0.879,0.737,-0.8065030013406482
-0.879,0.758,-0.8852700744065504
-0.879,0.778,-0.962179899217916
-0.879,0.798,-1.0403695954907506
-0.879,0.818,-1.1191230327897974
-0.879,0.838,-1.1976320693709321
-0.879,0.859,-1.2788926164147865
-0.879,0.879,-1.354320728080663
-0.879,0.899,-1.427069750569391
-0.879,0.919,-1.4964590247360305
-0.879,0.939,-1.5618825253651965
-0.879,0.96,-1.6257148366551935
-0.879,0.98,-1.6813583712633924
-0.879,1.0,-1.731500571862405
-0.859,-1.0,-1.7290559532391478
-0.859,-0.98,-1.6833051983351077
-0.859,-0.96,-1.6330938601862035
-0.859,-0.939,-1.576210177400936
-0.859,-0.919,-1.5187400852049795
-0.859,-0.899,-1.4587155779954817
-0.859,-0.879,-1.396745912318985
-0.859,-0.859,-1.333349088359985
-0.859,-0.838,-1.2656554802598399
-0.859,-0.818,-1.2003207470016328
-0.859,-0.798,-1.1341439232110822
-0.859,-0.778,-1.0669328034198609
-0.859,-0.758,-0.9983263279950975
-0.859,-0.737,-0.924251466171569
-0.859,-0.717,-0.8511880087465079
-0.859,-0.697,-0.7751142980798136
-0.859,-0.677,-0.6955690329621818
-0.859,-0.657,-0.6122450039184958
-0.859,-0.636,-0.5205910106032026
-0.859,-0.616,-0.4295127668299571
-0.859,-0.596,-0.3351925347394663
-0.859,-0.576,-0.23834467129190734
-0.859,-0.556,-0.1399172480166687
-0.859,-0.535,-0.036100443683991956
-0.859,-0.515,0.06193707649883454
-0.859,-0.495,0.15788698498996356
-0.859,-0.475,0.2505638248054956
-0.859,-0.455,0.33892489525141856
-0.859,-0.434,0.4261484903372066
-0.859,-0.414,0.5033268650144498
-0.859,-0.394,0.5744547790399738
-0.859,-0.374,0.6395113577810391
-0.859,-0.354,0.6987239309230437
-0.859,-0.333,0.7550821659459269
-0.859,-0.313,0.8038242847409164
-0.859,-0.293,0.8484289186630166
-0.859,-0.273,0.8895772423494904
-0.859,-0.253,0.9279091599308752
-0.859,-0.232,0.9657317886697465
-0.859,-0.212,0.9999000253028725
